emotion_label,clean_content,clean_withSW_SL,clean_noSW_SL,clean_noSW_noSL
0,so i picked up chris botti s live in boston cd listening while driving home tonight under the moon didn t want it to end,so i picked up chris botti s live in boston cd listening while driving home tonight under the moon didn t want it to end,picked chris botti live boston cd listening driving home tonight moon want end,pick chri botti live boston cd listen drive home tonight moon want end
0,nice no idea about c try ibm s tts works great imo,nice no idea about c try ibm s tts works great imo,nice no idea try ibm tts works great imo,nice no idea tri ibm tt work great imo
0,linda what do you mean by your last post it doesn t sound good,linda what do you mean by your last post it doesn t sound good,linda mean last post sound good,linda mean last post sound good
0,two months ago i became worthless,two months ago i became worthless,two months ago became worthless,two month ago becam worthless
0,it is a sad commentary is it not,it is a sad commentary is it not,sad commentary not,sad commentari not
0,umm ok you sound verry proud of yourselff bubb,umm ok you sound verry proud of yourselff bubb,umm ok sound verry proud yourselff bubb,umm ok sound verri proud yourselff bubb
0,mr tweet i think,mr tweet i think,mr tweet think,mr tweet think
0,gonna nap n chill then probably go to the movie later ugh i have a headache this sux ass cloudy day too,gonna nap n chill then probably go to the movie later ugh i have a headache this sux ass cloudy day too,gonna nap chill probably go movie later ugh headache sux ass cloudy day,gonna nap chill probabl go movi later ugh headach sux as cloudi day
0,nothing relaxing on a saturday night,nothing relaxing on a saturday night,nothing relaxing saturday night,noth relax saturday night
0,leo carillo beach and will rogers state park are on the list of state parks that might close,leo carillo beach and will rogers state park are on the list of state parks that might close,leo carillo beach rogers state park list state parks might close,leo carillo beach roger state park list state park might close
0,i m still on the bandwagon figured i ve been on this ride so far might as well see what happens,i m still on the bandwagon figured i ve been on this ride so far might as well see what happens,still bandwagon figured ride far might well see happens,still bandwagon figur ride far might well see happen
0,is listening to jello biafra at work,is listening to jello biafra at work,listening jello biafra work,listen jello biafra work
0,you guys need to get on me it s been 2 weeks since i ve went on a cache hunt geo caching,you guys need to get on me it s been  weeks since i ve went on a cache hunt geo caching,guys need get weeks since went cache hunt geo caching,guy need get week sinc go cach hunt geo cach
0,i was the blue lol,i was the blue lol,blue lol,blue lol
0,miss simpatia votem em mim,miss simpatia votem em mim,miss simpatia votem em mim,miss simpatia votem em mim
0,wanting to leave work early today but stuff keeps accumulating this friday is so a monday in disguise lol,wanting to leave work early today but stuff keeps accumulating this friday is so a monday in disguise lol,wanting leave work early today stuff keeps accumulating friday monday disguise lol,want leav work earli today stuff keep accumul friday monday disguis lol
0,tweeterizing from a mobile,tweeterizing from a mobile,tweeterizing mobile,tweeter mobil
0,you cna get em for about 17 but i ve got one for 27 which is asus same as lappie,you cna get em for about  but i ve got one for  which is asus same as lappie,cna get em got one asus lappie,cna get em get one asu lappi
0,would like to remind people that i am out of kansai scene and whatever the current issue is like i have had nothing to do with it,would like to remind people that i am out of kansai scene and whatever the current issue is like i have had nothing to do with it,would like remind people kansai scene whatever current issue like nothing,would like remind peopl kansai scene whatev current issu like noth
0,at halu for dinner second time this week,at halu for dinner second time this week,halu dinner second time week,halu dinner second time week
0,awake again i give up i m going to ready for today,awake again i give up i m going to ready for today,awake give going ready today,awak give go readi today
0,good luck this week i know you ll handle it with grace,good luck this week i know you ll handle it with grace,good luck week know handle grace,good luck week know handl grace
0,the dayem computer twp p,the dayem computer twp p,dayem computer twp,dayem comput twp
0,missing mrs mcfox,missing mrs mcfox,missing mrs mcfox,miss mr mcfox
0,i got bored lunch time,i got bored lunch time,got bored lunch time,get bore lunch time
0,thanks now its going to rain all weekend,thanks now its going to rain all weekend,thanks going rain weekend,thank go rain weekend
0,i cannot tell a lie i did,i cannot tell a lie i did,cannot tell lie,cannot tell lie
0,noo i only started 4th season on wednesday but im on ep11 y,noo i only started th season on wednesday but im on ep y,noo started th season wednesday im ep,noo start th season wednesday im ep
0,business exam tomorrow,business exam tomorrow,business exam tomorrow,busi exam tomorrow
0,feeling madly sorry for myself i m seck d make me feel better i should be going to a fashion show,feeling madly sorry for myself i m seck d make me feel better i should be going to a fashion show,feeling madly sorry seck make feel better going fashion show,feel madli sorri seck make feel well go fashion show
0,i dont associate with fake asses,i dont associate with fake asses,dont associate fake asses,dont associ fake as
0,unfortunately yes not outside,unfortunately yes not outside,unfortunately yes not outside,unfortun ye not outsid
0,bored,bored,bored,bore
0,i wanna go to the extra show really bad,i wanna go to the extra show really bad,wanna go extra show really bad,wanna go extra show realli bad
0,hi ok i hope its head comes out of the clouds for you gt i love meadowbank shopping center,hi ok i hope its head comes out of the clouds for you gt i love meadowbank shopping center,hi ok hope head comes clouds gt love meadowbank shopping center,hi ok hope head come cloud gt love meadowbank shop center
0,i think they play michael buble in heaven he s that great,i think they play michael buble in heaven he s that great,think play michael buble heaven great,think play michael bubl heaven great
